idID	Text	Label
88626	@USER @USER @USER @USER No reasoning with someone who can’t even grasp that common sense gun control does not equal a ban on guns.  (I’m a liberal gun owner.)	NOT
22902	@USER all conservatives are bad people	NOT
67338	@USER @USER @USER You just make the numbers up now don't you	NOT
54753	@USER @USER #Westminster @USER #Tories @USER @USER @USER #Brexiteers #OutOfTheEU @USER We think not #AnnaSourpuss 😠 Best for the #UK 🇬🇧 without a doubt is to #Leave with #NoEUDeal &amp; just get on forging 🌍 trade deals &amp; say to the #EU #FuckEU 💪	OFF
78616	@USER @USER @USER So you are defending antifa? Is that your stance?	NOT
91779	"...or the many other instances where AR-15s used for home defense are labeled mass shootings"" by gun control:  URL"	NOT
60911	@USER He is vile.	NOT
65856	@USER @USER So I'm not sure she is a woman for one mostly men throw out insults like that to each other or mean ugly feminist cat women with penis envy	OFF
34205	4/5 Despite dissent within @USER @USER declared “All Canadians are aware of the need for changes to Canada’s gun control system. This government is committed to the reduction of crime, and effective gun control measures are an important part of Canada’s criminal law. URL	NOT
13872	Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	OFF
17314	@USER I have long thought that liberals are children trapped in adult bodies.	OFF
61664	@USER @USER Kavanaugh was on the short list over a year ago. If liberals think this is a good idea just imagine how many people in the future with zero evidence 30+ yrs later including where and year can accuse people then ruin their lives including these liberals and politicians.	NOT
31912	@USER bitch if u don’t message him	OFF
81018	"@USER @USER It's almost as if 50 years ago (1968) something changed about how gun control was discussed by the NRA.  How the NRA went from backing gun control to America’s most powerful lobby group"" URL"	NOT
93111	@USER There is a full-blown coup d'etat going on between the Deep State and the Liberals for everything they can do to try and get Trump out of power and it's absolutely ridiculous and should be against the law	NOT
83715	@USER Jonah hill ratted your sorry ass out wdym	NOT
95266	@USER @USER But it’s so cute when conservatives try to do economy /	NOT
50688	"@USER Does this line sound familiar it is too soon to talk gun control""? This the the typical NRA funded GOP response to NRA sponsored mass murder."""	OFF
46391	@USER @USER Scientific breakthrough! Origins of @USER discovered #TalkLikeAPirateDay	NOT
47727	@USER @USER Owl’s kid will be the commander of Antifa one day. He/She won’t have time for college because they will be too busy fighting Nazis on camera	NOT
71631	@USER @USER IT WAS OFF THE PLATFORM HOW IS THIS OK!?!??	NOT
72930	@USER He is looking for a place to hide	NOT
23148	@USER @USER See.  Even liberals are in agreement!	NOT
92945	@USER Im only there for the meltdown URL	NOT
10567	@USER Correct me if I`m wrong wasn`t she playing a women???   Who was also a minority who was Asian.  The way she is talking she play a man.	NOT
23476	@USER @USER They are #DoAsISayNotAsIDo conservatives.	NOT
51713	@USER Democrats soft on crime soft on border security. Since we can’t use Illegal Aliens. I will now call them CRIMINAL Aliens	NOT
92416	@USER @USER But as a sidenote I don't categorize all ppl on the left as *far left* - *Antifa thugs* etc. Far from. And I don't condone any effort to perpetuate such behavior.	NOT
42813	@USER thoughts on Sandy Alcantara?  Seems like he is pitching well	NOT
25385	@USER @USER @USER Yep. I was at Yale law school as well..  He also mentioned at one point that he could pee his name in the snow and that groping someone against their will while holding them down and choking them was “boys being boys”. NBD. #MoronsAreGoverningAmerica #MAGA #Kavanaugh	OFF
76380	Accept me for who I am. I understand it's not easy. But neither is loving someone who only tries to  correct your flaws that only make you so incredibly unique. 👑	NOT
29091	@USER @USER @USER @USER @USER @USER @USER Don't shame your entire country.. You are not mad!	NOT
12810	@USER Wait for it. The DIMS are going to preach gun control....	NOT
73782	@USER @USER is checking their privilege! URL  #RightSideOfHistory #BigTech	NOT
35790	@USER @USER @USER Now we just need antifa outside when they confirm kavanaugh	NOT
52325	@USER Glad to see another NFL owner has read the Constitution. Unlike all the crybabies fussing over peaceful protests. #FreedomOfExpression #FreedomOfExpression is still alive. That's one of the reasons America is great!	NOT
57061	"#Trump #MAGA | @USER : Jack Dorsey, to his credit, has openly acknowledged that he has a culture within his company that is hostile to conservatives. Now the question is, what is he going to do about it?"" URL  URL |"""	NOT
40917	@USER Does  that mean you won’t be bullying women who support trans people? Bet you last ten minutes. You are a transphobe.	NOT
20359	@USER He has the msm covering up	NOT
29880	@USER 😅😅😅😅😅😅😅😅😅 gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government! Fuck you!	OFF
50831	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He may not be a Texan but he is certainly shaping the Dem party for the better.	NOT
35887	@USER I feel as guys we rush into something because of how a girls looks. Without really knowing how she is. And once having her. Knowing her for who she is and realizing you dont want that without thinking of the implications or damage it can do to the girls mind.	NOT
61319	@USER His eyes are fucking louder than his words!!!! 😍😍💜💜	OFF
45132	***Triggers the Conservatives URL	NOT
83844	@USER No one is open! You think he is sitting there waiting to get hit lol. The pick that was called back Kyle said the one of the receiver ran the wrong route again! A route that was need to pick Matt open! 🤦🏽‍♂️ 49ers need to get their head out of their asses	OFF
52603	@USER @USER Saw u on Hannity last night. Want u to know I love your Dad and know everything he has sacrificed for us. He is to me the greatest President in my lifetime and in modern history. I so wish I could tell him. I would probably ugly cry though. He is a Godsend to this country.	NOT
72890	@USER It sure is. Hope he is in the grand final side	NOT
13100	@USER Antifa took over for them.	NOT
95080	@USER Democrats are getting everything they deserve.	NOT
23691	@USER He should have done that with Obama	NOT
19058	@USER Ashole gonna eat himself to death	OFF
73724	@USER I MISS U	NOT
94730	@USER @USER @USER Where is VAN? She is ARMY who need to shazam the most you know... 🔍🐾🐶🐾🔎	NOT
15191	@USER There's only one King 🐐	NOT
25510	@USER You are not alone! Will say prayers for you.  Hang in there!	NOT
78252	@USER @USER I never watch the NFL !!!’ Panthers suck by the way !!!	OFF
10117	Where is my MAGA cap?! URL	NOT
14708	"90% of these conservatives"" really aren't. They just found the liberal side of the aisle to crowded. URL"	NOT
13419	EVERYBODY❤️🌝 ROY🎸AYERS-‘76🎷 URL @USER @USER @USER @USER #MAGA #Trump #USA @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER URL	NOT
29701	@USER Lokk at july 29 when I said Gordon would be cut for drugs and you called me a dipshit.	OFF
22429	@USER He is such a good ad for conservatives	NOT
54265	@USER @USER maybe it was democrat antifa	NOT
73518	@USER He is 😭😭😭 he is so precious 💖	NOT
57973	@USER @USER This clown need maga listeners.   Nothing more nothing less.   Total fraud.	OFF
25390	"@USER Holder is an evil, hateful, dangerous man.  He's a real"" racist.  He absolutely hates White People.  He &amp; Obama contributed to the race riots during O's Admin."""	OFF
54513	GOTTA LOVE A PRESIDENT THAT ACTUALLY CARES ABOUT THE PEOPLE OF THIS NATION!!!! #MAGA!!! #OBAMASUCKS URL	NOT
87059	.@USER  You Sir are correct. There are so many GOOD MEN. She is completely out of line. URL	NOT
67982	@USER That's new	NOT
94216	@USER Globalist TOOL.	NOT
40944	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER not what the conclusions says in the paper. do you know what experiments they did? you are just like an creationist that blindly believe what the news says. You are like an catholic that beliees every word of the pope.	NOT
79545	@USER She is disgusting	OFF
73068	@USER @USER ok with Andrew @USER Bully Liar touchy cheat to be kept on as a MP? On £75k? No anti bullying rules? URL … @USER @USER @USER @USER	NOT
95216	@USER I never call you an American! #MAGA	NOT
38963	@USER America wins with President Trump...  Not Google.  #MAGA #AmericaFirst	NOT
40368	President Trump is fighting for the American worker and American Jobs! #MAGA URL	NOT
82630	The Nike Commercial MAGA Deserves URL via @USER	NOT
48089	@USER @USER @USER As a veteran of the US Army I have supported different presidents over different periods of my life. Not gonna sit back and watch no one man disgrace #america like this. Be happy with who you support cause he is not good for your country #usa #VoteBlueAndBringAFriend	NOT
81405	@USER He also said he had a gatlin gun and niggas that sit on the corner like boxers between rounds	OFF
97694	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER If we don't destroy the Bush-Clinton Crime family we'll face many more like Obama!!	OFF
47663	@USER She is beautiful	NOT
63585	@USER @USER Thanks. I'm gonna test out herc again with limit broken white rose ce equipped on Raikou	NOT
90589	@USER Hopefully he is gone soon. We have glorious beings for you to meet. URL	NOT
38013	@USER He is gonna be OP asf for the first few weeks URL	NOT
