HITId	tweet	directness
3504	@user Hi how are you you still thinking of that mongoloid ingrate from yesterday that dirty SNP Bastard called\u2026 @URL	indirect
2244	This negro is batshit crazy....for actually spending money to redesign a MAGA hat cuz they needed a better aestheti… @URL	indirect
2886	No discernible skill to give you a visa here. Sorry we don\u2019t want people from shithole countries here @URL	indirect
4981	@user *inserts nigger meme*	indirect
4291	Going to be fasting tomorrow and the next day because im such a fat cunt	indirect
1597	“keep in mind i am a negro so my open mind got a screen door” Wayne goin crazy	indirect
1653	@user @user @user Comedy spic	indirect
3536	@user What a complete twat lmao. He could just learn how to edit and edit the teamtage himself \ud83d\ude02\ud83d\ude02 \I don' think\u2026 @URL	indirect
1764	Timer starts faggot \ud83d\ude00	direct
4710	@user I'd say you could come here but I live in a shithole country \ud83c\uddfa\ud83c\uddf8	indirect
3960	fuck You ching chong @URL	indirect
605	if you texted me and i didn’t text you back text me again my responses are on NPT (nigger people time)	indirect
82	@user @user Pretty sure he called me a spic four times over already	indirect
2018	@user The most of ching chong daddy dude.	direct
2770	my brother gave me my house keys and was like ‘here your ching chong’ and i yelled at him so bad he’s crying now @URL	indirect
5039	Twitter allows a #redneck #President to be racist and sexist but tries to stop this about a #retard who cant eat a\u2026 @URL	indirect
3304	@user I better not call them mongy retards then \ud83d\ude42	indirect
3489	@user this makes me so agitated when i'm in melb bc in sydney if u don't walk at least 128bpm u get called a cunt	indirect
589	maybe it that jennie anti hacker did this they wouldnt be a fat bitter cunt @URL	indirect
2256	I think t-pain should do comedy negro really funny af bruh @user	indirect
708	@user well theres only really 3 true races: caucasoid (white) mongoloid (asian) and negroid(black). were all\u2026 @URL	indirect
2094	Actually couldn\u2019t of got any luckier with Maca \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d best wee baldy retard @URL	indirect
1273	@user Kindergarten here too. When kids ran up to me and said “ching chong” and made slanty eyes I was foolish… @URL	indirect
4843	Why are you being a right twat?	direct
4969	what do guys have to offer that a dyke doesn\u2019t???????	indirect
180	And she\u2019s from Africa ya know that place where \u201cshithole countries\u201d are located\ud83d\ude44\ud83d\ude44\ud83d\ude44\ud83d\ude44 @URL	indirect
5097	lmaOOOOOO ni que pelo negro yall wildin en serio @URL	indirect
3724	@user @user @user @user @user @user At BTG we are compromise to help edu… @URL	indirect
1773	@user @user Stop tweeting and go back to your country. You are a tourist in Kenya controlling our economy.	indirect
777	political alignment =\= musical merit and if you wanna argue just keep your lil nigger lips shut @URL	indirect
4284	P.spic @URL	indirect
5431	@user RAMACHANDRA Ghua and Rajdeep are against Hindus in the name of secularism and leftist media propaganda th\u2026 @URL	indirect
4827	@user What a fucking stupid little twat hole	indirect
574	shithole countries @URL	indirect
5611	goodbye faggot travelust \ud83d\udd95\ud83c\udffb	indirect
2376	@user @user @user @user How many Ucl has kante won for barca??\n\nU plastic mongy	indirect
1913	@user Sick cunt	direct
1904	@user @user Reported the twat	indirect
4713	Fox New’s Kevin Jackson tried soo hard to be a Uncle Tom-ing house negro that they were forced to fire his dumb ass #smh #ByeFelicia	indirect
5316	@user @user Take your UCL L and stop worrying about things hazijafika !! Ati ooh washed up veteran ooh ching chong fucken	indirect
1888	@user @user @user @user @user I loved being called faggot every second it was funny	indirect
5054	@user Tristan said reply to her text nigger	indirect
1008	Always Asians model is typical old types mongoloid idk why they don\u2019t like evolution human ? @URL	indirect
5239	@user @user @user @user @user her name is ching chong. did you just assume her name?	indirect
4223	@user @user Coincidentally timed with the caravan of love coming up from shithole countries pretty sure it\u2019s unrelated \ud83d\ude09	indirect
1925	&amp; my retarded ass done sent out my damn feelings in a text message\ud83e\udd26\ud83c\udffe\u200d\u2640\ufe0f\ud83d\ude11	indirect
3064	Yea because you like 4 generations down lmao. You practically on a sidekick you broke ass faggot @URL	indirect
3004	@user @user @user 2 for the price of 1 and guaranteed no less than 4 accounts for feminazi m… @URL	indirect
2292	hey theres like 1 guy on tik tok ironic shit thats hot as fuck im just saying im a faggot for that dude	indirect
2037	stop copying my art you twat	indirect
4757	So yesterday I had some KFC for the first time but let me tell you. I will straight up die if you giving me spicy f\u2026 @URL	indirect
5006	#Pakistan's PM #ImranKhan has promised citizenship to refugees from #Afghanistan and #Bangladesh born on Pakistani… @URL	indirect
4933	What\u2019s up faggot wanna bet on the game 2morr \ud83e\udd37\ud83c\udffe\u200d\u2642\ufe0f @user kno u only have food stamps I\u2019ll take em lol	indirect
4012	4 am palang i need to sleep again .\n\nBrain u fucking retard.\n\nWhy u like dis?	indirect
2034	@user this bottle called me ching chong and told me to go back to my country	indirect
2651	Imagine getting called retarded by the President on Twitter. @URL	indirect
3015	Not from Trump\u2019s shithole Countries! So let\u2019s put armed guards and build a wall in every zip code of America shal\u2026 @URL	indirect
4813	@user @user Wish I didn't live in a shithole country and could buy cool t-shirts as well.	indirect
3974	@user @user You don’t find it credible that feminazi women lie are vicious nasty and revengeful if… @URL	indirect
2282	i mean i call aly faggot	indirect
4451	When rappers say faggot&gt;&gt;	indirect
1840	I need to move to a hot country immediately I honestly don\u2019t think I can survive another winter in this depressing shithole of a country	indirect
182	@user You faggot..	indirect
5116	#ViktorOrban talks a tough line on dealing with refugees but his Achilles… @URL	indirect
2098	@user @user shut the fuck up retard	indirect
4283	wyd afghan faggot im bored \u2014 LOOOOL. I\u2019m watching Netflix @URL	indirect
5284	Wait nvm I\u2019m retarded I got one with Seth \ud83d\ude02\n\ncarry on	indirect
4269	@user @user @user I am a woman. You tool. Or do I make myself feel unsafe. How\u2019s retard.	indirect
4368	she has me smiling like a retard \ud83d\ude11\ud83e\udd2a @URL	indirect
1131	Suad: it’s okay nigger we love you	direct
801	Wait California was going to let illegal aliens serve in public office!?!? @URL	indirect
1524	So here is what @user means by #nationalism. What a fucking twat. #ImpeachTrumpNow @URL	direct
113	Thete was no nrrd to call Corina a cunt! No need!!	indirect
534	if she doesn't stream men then she doesn't who asked for your opinion cunt @URL	indirect
3500	@user Be (shithole countries sons of bitches bleeding from her whatever sleepy eyes grab them by the\u2026 @URL	indirect
755	@user Shut it you egocentric twat. I loathe unprincipled people like you	indirect
1423	Wow. What a twat you are @URL	indirect
2206	moji it was a spic from my picture	indirect
4575	@user This is him on my wacom while I try to work. @URL	indirect
3037	Looking for reputable charities and organizations to donate towards refugees and children. Please send me links.	indirect
5234	supra is a fucking faggot	direct
1257	why do some gays think being masc &amp; hating fems makes them better than the other gays like the world is still gonna see u as a faggot	indirect
4802	@user @user @user Did he not call Nigerians other African countries \shithole\? Are u guys se\u2026 @URL	indirect
3800	If race is a social construct why are all the leftists and Anti-Whites always attacking White people White values\u2026 @URL	indirect
183	@user You calling people insensitive! That\u2019s the best tweet of the day.. daft cunt	indirect
3823	@user No bro go post ur toes retard	indirect
1571	thoughts about allen \u2014 My baby boy!!!!! He\u2019s cool better than me sa guitar pero sa vocals hinde mongoloid siya. H\u2026 @URL	indirect
5541	Any retard want to take UK +25 hit my line	indirect
1037	@user you a spick fucking wetback	direct
3944	jamie oliver is a twat jamie oliver is a twat jamie oliver is a twat jamie oliver is a twat jamie oliver is a twat\u2026 @URL	indirect
2355	@user not that I think you\u2019re a twat \ud83d\ude02\ud83d\ude02\ud83d\udc4f\ud83d\udc4f @URL	indirect
2825	D-Rats and feminazi abortion devils came trolling with carloads of cash. Despicable! @URL	indirect
1980	Keep that SAME energy while your faves are getting called ching chong dog eaters f*gs. How tf are you gonna laugh… @URL	indirect
5348	\Combover twitter-rat tweet-twat tripe-gob muckspout\u201d \u2026 so runs the first stanza of \u201cSwearing In\u201d by Carol Ann\u2026 @URL	indirect
1957	This is Colombia negro @URL	indirect
4590	Anytime anyone says fag or faggot I casually ask how the 6th grade is going. Like are really still calling people that in 2018 LMAO	indirect
437	Are you free? Why? \u2014 No bc the government is a cunt @URL	indirect
1873	@user So sorry to hear about your experience Mr Punia :( We try our best to keep our aircraft spic and span\u2026 @URL	indirect
3571	i swear this nigga retarded bruh @URL	indirect
921	@user @user @user what say you mongol mouth?	indirect
5386	Typical nigger	direct
475	@user @user Tranquilo pe mongol ctmre.	indirect
