id	tweet	annotator_sentiment
3504	@user Hi how are you you still thinking of that mongoloid ingrate from yesterday that dirty SNP Bastard called\u2026 @URL	indifference_disgust
2244	This negro is batshit crazy....for actually spending money to redesign a MAGA hat cuz they needed a better aestheti… @URL	anger_indifference
2886	No discernible skill to give you a visa here. Sorry we don\u2019t want people from shithole countries here @URL	anger_confusion_fear_shock_disgust
4981	@user *inserts nigger meme*	anger_fear
4291	Going to be fasting tomorrow and the next day because im such a fat cunt	confusion_disgust
1597	“keep in mind i am a negro so my open mind got a screen door” Wayne goin crazy	shock_indifference
1653	@user @user @user Comedy spic	indifference_disgust
3536	@user What a complete twat lmao. He could just learn how to edit and edit the teamtage himself \ud83d\ude02\ud83d\ude02 \I don' think\u2026 @URL	anger_sadness
1764	Timer starts faggot \ud83d\ude00	anger_fear_shock_sadness_disgust
4710	@user I'd say you could come here but I live in a shithole country \ud83c\uddfa\ud83c\uddf8	anger_disgust
3960	fuck You ching chong @URL	anger_confusion_sadness_shock_indifference
605	if you texted me and i didn’t text you back text me again my responses are on NPT (nigger people time)	confusion_sadness_shock_indifference_disgust
82	@user @user Pretty sure he called me a spic four times over already	anger_sadness_shock_indifference_disgust
2018	@user The most of ching chong daddy dude.	confusion_disgust
2770	my brother gave me my house keys and was like ‘here your ching chong’ and i yelled at him so bad he’s crying now @URL	shock_disgust
5039	Twitter allows a #redneck #President to be racist and sexist but tries to stop this about a #retard who cant eat a\u2026 @URL	anger_confusion_fear_indifference_disgust
3304	@user I better not call them mongy retards then \ud83d\ude42	anger_confusion_fear_shock_indifference
3489	@user this makes me so agitated when i'm in melb bc in sydney if u don't walk at least 128bpm u get called a cunt	anger_sadness_shock_indifference_disgust
589	maybe it that jennie anti hacker did this they wouldnt be a fat bitter cunt @URL	anger_confusion_fear_shock_disgust
2256	I think t-pain should do comedy negro really funny af bruh @user	indifference_disgust
708	@user well theres only really 3 true races: caucasoid (white) mongoloid (asian) and negroid(black). were all\u2026 @URL	sadness_disgust
2094	Actually couldn\u2019t of got any luckier with Maca \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d best wee baldy retard @URL	sadness_indifference
1273	@user Kindergarten here too. When kids ran up to me and said “ching chong” and made slanty eyes I was foolish… @URL	confusion_fear_shock_indifference_disgust
4843	Why are you being a right twat?	confusion_indifference
4969	what do guys have to offer that a dyke doesn\u2019t???????	shock_indifference
180	And she\u2019s from Africa ya know that place where \u201cshithole countries\u201d are located\ud83d\ude44\ud83d\ude44\ud83d\ude44\ud83d\ude44 @URL	anger_sadness_shock_indifference_disgust
5097	lmaOOOOOO ni que pelo negro yall wildin en serio @URL	confusion_sadness
3724	@user @user @user @user @user @user At BTG we are compromise to help edu… @URL	anger_indifference
1773	@user @user Stop tweeting and go back to your country. You are a tourist in Kenya controlling our economy.	confusion_disgust
777	political alignment =\= musical merit and if you wanna argue just keep your lil nigger lips shut @URL	fear_disgust
4284	P.spic @URL	confusion_disgust
5431	@user RAMACHANDRA Ghua and Rajdeep are against Hindus in the name of secularism and leftist media propaganda th\u2026 @URL	confusion_sadness_shock_indifference_disgust
4827	@user What a fucking stupid little twat hole	sadness_disgust
574	shithole countries @URL	sadness_indifference
5611	goodbye faggot travelust \ud83d\udd95\ud83c\udffb	shock_indifference
2376	@user @user @user @user How many Ucl has kante won for barca??\n\nU plastic mongy	confusion_indifference
1913	@user Sick cunt	anger_confusion_sadness_shock_indifference
1904	@user @user Reported the twat	anger_indifference
4713	Fox New’s Kevin Jackson tried soo hard to be a Uncle Tom-ing house negro that they were forced to fire his dumb ass #smh #ByeFelicia	anger_confusion_sadness_indifference_disgust
5316	@user @user Take your UCL L and stop worrying about things hazijafika !! Ati ooh washed up veteran ooh ching chong fucken	fear_indifference
1888	@user @user @user @user @user I loved being called faggot every second it was funny	confusion_fear_indifference_sadness_disgust
5054	@user Tristan said reply to her text nigger	anger_disgust
1008	Always Asians model is typical old types mongoloid idk why they don\u2019t like evolution human ? @URL	anger_confusion_sadness_indifference_disgust
5239	@user @user @user @user @user her name is ching chong. did you just assume her name?	shock_disgust
4223	@user @user Coincidentally timed with the caravan of love coming up from shithole countries pretty sure it\u2019s unrelated \ud83d\ude09	anger_shock
1925	&amp; my retarded ass done sent out my damn feelings in a text message\ud83e\udd26\ud83c\udffe\u200d\u2640\ufe0f\ud83d\ude11	shock_disgust
3064	Yea because you like 4 generations down lmao. You practically on a sidekick you broke ass faggot @URL	fear_disgust
3004	@user @user @user 2 for the price of 1 and guaranteed no less than 4 accounts for feminazi m… @URL	anger_fear_shock_indifference_sadness
2292	hey theres like 1 guy on tik tok ironic shit thats hot as fuck im just saying im a faggot for that dude	anger_fear_shock_indifference_disgust
2037	stop copying my art you twat	shock_disgust
4757	So yesterday I had some KFC for the first time but let me tell you. I will straight up die if you giving me spicy f\u2026 @URL	anger_confusion_sadness_shock_disgust
5006	#Pakistan's PM #ImranKhan has promised citizenship to refugees from #Afghanistan and #Bangladesh born on Pakistani… @URL	anger_confusion_sadness_indifference_disgust
4933	What\u2019s up faggot wanna bet on the game 2morr \ud83e\udd37\ud83c\udffe\u200d\u2642\ufe0f @user kno u only have food stamps I\u2019ll take em lol	anger_confusion_sadness_shock_disgust
4012	4 am palang i need to sleep again .\n\nBrain u fucking retard.\n\nWhy u like dis?	anger_confusion_fear_shock_sadness
2034	@user this bottle called me ching chong and told me to go back to my country	anger_confusion_sadness_disgust
2651	Imagine getting called retarded by the President on Twitter. @URL	anger_disgust
3015	Not from Trump\u2019s shithole Countries! So let\u2019s put armed guards and build a wall in every zip code of America shal\u2026 @URL	anger_disgust
4813	@user @user Wish I didn't live in a shithole country and could buy cool t-shirts as well.	anger_sadness
3974	@user @user You don’t find it credible that feminazi women lie are vicious nasty and revengeful if… @URL	anger_confusion_sadness_indifference_disgust
2282	i mean i call aly faggot	sadness_disgust
4451	When rappers say faggot&gt;&gt;	anger_shock
1840	I need to move to a hot country immediately I honestly don\u2019t think I can survive another winter in this depressing shithole of a country	confusion_fear_shock_indifference_disgust
182	@user You faggot..	anger_sadness_shock_indifference_disgust
5116	#ViktorOrban talks a tough line on dealing with refugees but his Achilles… @URL	anger_disgust
2098	@user @user shut the fuck up retard	anger_fear_shock_indifference_disgust
4283	wyd afghan faggot im bored \u2014 LOOOOL. I\u2019m watching Netflix @URL	confusion_disgust
5284	Wait nvm I\u2019m retarded I got one with Seth \ud83d\ude02\n\ncarry on	confusion_disgust
4269	@user @user @user I am a woman. You tool. Or do I make myself feel unsafe. How\u2019s retard.	anger_sadness_shock_indifference_disgust
4368	she has me smiling like a retard \ud83d\ude11\ud83e\udd2a @URL	confusion_disgust
1131	Suad: it’s okay nigger we love you	anger_confusion_sadness_indifference
801	Wait California was going to let illegal aliens serve in public office!?!? @URL	anger_indifference
1524	So here is what @user means by #nationalism. What a fucking twat. #ImpeachTrumpNow @URL	anger_disgust
113	Thete was no nrrd to call Corina a cunt! No need!!	anger_confusion_sadness_shock_indifference
