ID	Text	label
93164	"@USER @USER Everything else was ten years ago. ""  YOU ARE A LIAR, this is total BS propaganda from team Trump  his crimes were throughout the past decade, including up to 2016"""	OFF
97218	@USER @USER @USER @USER Given the sheer scale of the numbers I suspect from time to time someone had to look in a pit and say “I recon that’s 450 in that hole”..the point is BIG BAZ they are fucking big numbers clocked up by the far right/left. I’m interested in the initial claim of genocide by Liberals	NOT
73044	@USER @USER Bill Clinton enjoyed raping them while Ted Kennedy enjoyed killing them. But you are cool with that.	OFF
36425	@USER Hope they continue to crash @USER	OFF
10216	@USER @USER @USER Yes you are correct and I don’t get what they see in him either. I’m just thankful he’s no longer in office.	NOT
28411	@USER @USER Yes Canada that is another great achievement from the #Trudeau #Liberals it just keeps getting better	NOT
84246	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I follow all these MAGA Patriots 🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸	NOT
10692	@USER CONGRATULATION YOU ARE A PUN MASTER 🎉🎉	NOT
71883	#brandmatters @USER teams up with #guncontrol group: ‘We simply cannot stand by silently’ URL	NOT
22220	@USER He is normalizing @USER	NOT
95438	"@USER Her head is already shaking before he can finish his first sentence, taking a step forward and slamming her cane to prove a point.          “No, Steve! Childish, perhaps. But she is tired, tired and worried sick all times that someone she cares about decides it's a great idea +"""	NOT
32235	10 Signs YOU Are a sales zombie 🧟‍♂️ URL #marketing #sales #retail #style URL	NOT
16518	@USER HI ILYSM IT HAS BEEN SUCH A GREAT DAY	NOT
20646	@USER @USER Strong character?...strong character? Anybody as bitter as she is for being a sore loser has no character!	OFF
52260	@USER @USER We r working 2 save our country from ppl like u.  Appropo u you setting the flag on fire just like u set justice on fire. #LockHerUp. #MAGA	NOT
81646	#Kavanaugh this is the common use of guns ... the conservatives and their prays of dead URL	NOT
88855	@USER whens the next meeting?	NOT
22905	"Antifa Ally  Yvette Felarca   Takes a Hit to the Head ""  Berkeley 8-5-18 URL via @USER"	NOT
69946	#torylies #PeoplesVote  #StopBrexit  @USER  False news URL	NOT
45622	@USER @USER She should be prosecuted to the fullest extent of the law.  The tragic waste of such a beautiful person!  Her incompetency and hasty judgement has ruined his family and friends lives.  I know she is devastated but that is little comfort to his loved ones.😔🙏🏼	OFF
54149	@USER Liberals and conservatives judge eachother on the actions of their worst characters. Liberals have in large quantities showcased a blatant hypocrisy today that will allow more people to write their ideas off because of the hypocrisy.	NOT
11810	@USER @USER He will lose his entire career?? You people are despicable. I know you do not believe in god but hell will be filled with liberals like you and Dianne	OFF
